id,datetime,upserted_rows
1,1698269276803,9
2,1698269576606,1
3,1698269880149,0
4,1698270176596,0
5,1698270476757,0
6,1698270776693,0
7,1698271076713,0
8,1698271376713,0
9,1698271676703,0
10,1698271976700,0
11,1698272276707,0
12,1698272576729,0
13,1698272876699,0
14,1698273176701,0
15,1698273476723,0
16,1698273776714,0
17,1698274076715,0
18,1698274376706,0
19,1698274676603,1
20,1698274976711,0
21,1698275276589,0
22,1698275576714,0
23,1698275876725,0
24,1698276176698,0
25,1698276476591,0
26,1698276776713,0
27,1698277076722,0
28,1698277376698,0
29,1698277676706,0
30,1698277976703,0
31,1698278276703,0
32,1698278576695,0
33,1698278876705,0
34,1698279176699,0
35,1698279476773,0
36,1698279776723,0
37,1698280076702,0
38,1698280376710,0
39,1698280676705,0
40,1698280976587,0
41,1698281276712,0
42,1698281576719,0
43,1698281876719,0
44,1698282176775,0
45,1698282476698,0
46,1698282776706,0
47,1698283076702,0
48,1698283376702,0
49,1698283676703,0
50,1698283976703,0
51,1698284276711,0
52,1698284576703,0
53,1698284876702,0
54,1698285176714,0
55,1698285476739,0
56,1698285776706,0
57,1698286076708,0
58,1698286376587,0
59,1698286676716,0
60,1698286976704,0
61,1698287276712,0
62,1698287576715,0
63,1698287876722,0
64,1698288176709,0
65,1698288476710,0
66,1698288776722,0
67,1698289076711,0
68,1698289376695,0
69,1698289676702,0
70,1698289976754,0
71,1698290276713,0
72,1698290576713,0
73,1698290876703,0
74,1698291176706,0
75,1698291476699,0
76,1698291776715,0
77,1698292076749,0
78,1698292376703,0
79,1698292676713,0
80,1698292976708,0
81,1698293276705,0
82,1698293576716,0
83,1698293876746,0
84,1698294176697,0
85,1698294476745,0
86,1698294776766,0
87,1698295076708,0
88,1698295376712,0
89,1698295676787,0
90,1698295976709,0
91,1698296276786,0
92,1698296576589,0
93,1698296876711,0
94,1698297176716,0
95,1698297476700,0
96,1698297776754,0
97,1698298076705,0
98,1698298376706,0
99,1698298676707,0
100,1698298976742,0
101,1698299276703,0
102,1698299576710,0
103,1698299876715,0
104,1698300176704,0
105,1698300476705,0
106,1698300776721,0
107,1698301076583,0
108,1698301376715,0
109,1698301676707,0
110,1698301976716,0
111,1698302276700,0
112,1698302576705,0
113,1698302876710,0
114,1698303176686,0
115,1698303476720,0
116,1698303776710,0
117,1698304076697,0
118,1698304376704,0
119,1698304676708,0
120,1698304976700,0
121,1698305276708,0
122,1698305576701,0
123,1698305876705,0
124,1698306176709,0
125,1698306476604,0
126,1698306776710,0
127,1698307076707,0
128,1698307376707,0
129,1698307676716,0
130,1698307976705,0
131,1698308276711,0
132,1698308576706,0
133,1698308876718,0
134,1698309176712,0
135,1698309476720,0
136,1698309776707,0
137,1698310076713,0
138,1698310376711,0
139,1698310676712,0
140,1698310976717,0
141,1698311276714,0
142,1698311576724,0
143,1698311876847,0
144,1698312176698,0
145,1698312476708,0
146,1698312776694,0
147,1698313076711,0
148,1698313376843,0
149,1698313676856,0
150,1698313976825,0
151,1698314276704,0
152,1698314576719,0
153,1698314876706,0
154,1698315176702,0
155,1698315476702,0
156,1698315776746,0
157,1698316076708,0
158,1698316376704,0
159,1698316676580,0
160,1698316976701,0
161,1698317276716,0
162,1698317576737,0
163,1698317876705,0
164,1698318176713,0
165,1698318476702,0
166,1698318776702,0
167,1698319076697,0
168,1698319376698,0
169,1698319676717,0
170,1698319976718,0
171,1698320276707,0
172,1698320576706,0
173,1698320876706,0
174,1698321176591,0
175,1698321476847,0
176,1698321776718,0
177,1698322076706,0
178,1698322376706,0
179,1698322676700,0
180,1698322976703,0
181,1698323276694,0
182,1698323576698,0
183,1698323876707,0
184,1698324176707,0
185,1698324476708,0
186,1698324776716,0
187,1698325076703,0
188,1698325376709,0
189,1698325676698,0
190,1698325976703,0
191,1698326276704,0
192,1698326576592,0
193,1698326876705,0
194,1698327176718,0
195,1698327476696,0
196,1698327776704,0
197,1698328076714,0
198,1698328376698,0
199,1698328676705,0
200,1698328976714,0
201,1698329276712,0
202,1698329576708,0
203,1698329876701,0
204,1698330176704,0
205,1698330476705,0
206,1698330776728,0
207,1698331076712,0
208,1698331376710,0
209,1698331676705,0
210,1698331976698,0
211,1698332276747,0
212,1698332596746,0
213,1698333487815,8
214,1698333776818,0
215,1698334078068,2
216,1698334376712,0
217,1698334676709,0
218,1698334976710,0
219,1698335276701,0
220,1698335576713,0
221,1698335876726,0
222,1698336176710,0
223,1698336476707,0
224,1698336776711,0
225,1698337076754,0
226,1698337377128,0
227,1698337676717,0
228,1698337976708,0
229,1698338276707,0
